molecule_chembl_id,canonical_smiles,bioactivity_class,value_uM
CHEMBL180912,O=C(O)C1CCc2ccc(OCCCOc3ccc(OCC(F)(F)F)cc3Cl)cc2O1,Full Inhibitor,4.1
CHEMBL182200,CC1(C)CCC(c2ccc(OCCCOc3ccc4c(c3)O[C@@](C)(C(=O)O)CC4)c(Cl)c2)CC1,Full Inhibitor,6.4
CHEMBL181219,COc1ccc2c(c1)c(Cc1cccc(C(=O)O)c1)c(C)n2C(=O)c1ccc(Cl)cc1,Full Inhibitor,0.208
CHEMBL178321,COc1ccc2c(c1)c(Cc1ccc(C(=O)O)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,Full Inhibitor,4.69
CHEMBL181087,COc1ccc2c(c1)c(Cc1ccccc1OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,Full Inhibitor,0.333
CHEMBL178245,COc1ccc2c(c1)c(Cc1cccc(OCC(=O)O)c1)c(C)n2C(=O)c1ccc(Cl)cc1,Partial Inhibitor,10.0
CHEMBL178562,COc1ccc2c(c1)c(Cc1ccc(OCC(=O)O)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,Full Inhibitor,0.084
CHEMBL367360,COc1ccc2c(c1)c(Cc1ccccc1OC(C)C(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,Full Inhibitor,0.084
CHEMBL180928,C[C@@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(OCC(F)(F)F)cc3Cl)cc2O1,Full Inhibitor,2.7
CHEMBL361427,COc1ccc2c(c1)c(Cc1ccccc1C(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,Full Inhibitor,6.28
CHEMBL190938,CCCc1cc(C(=O)CC)cc(CCC)c1O[C@H](C(=O)O)c1ccc(C(F)(F)F)cc1,Full Inhibitor,0.21
CHEMBL371832,CCCc1cc(C(=O)CC)cc(CCC)c1CC(C(=O)O)c1ccc(C(C)C)cc1,Partial Inhibitor,50.0
CHEMBL187612,CCCc1cc(C(=O)CC)cc(CCC)c1NC(C(=O)O)c1ccc(C(C)C)cc1,Partial Inhibitor,50.0
CHEMBL190517,CCCc1cc2c(oc(=O)n2C)c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,Full Inhibitor,0.085
